cell,route,tiles,scored_px,macro_iou_present_classes,macro_f1_present_classes,overall_accuracy,n_classes_present,iou_unknown,iou_asfalt,iou_fliser,iou_grus,iou_ubefestet,iou_green_roof,iou_drivhus,iou_betonflade,iou_brosten,iou_unknown2,iou_solceller
convnext_upernet_10ch_unw,85-45,401,50907628,0.9181978025058722,0.9572872416485562,0.9535998416583071,3,,0.0,,0.9359951139880792,0.8984026083316651,,,,,,0.9201956851978726
convnext_upernet_10ch_unw,85-48,150,21881576,0.9753279343131821,0.9874432242760361,0.9828293903510423,3,,,,0.9976226842171342,0.9679747507520674,,,,,,0.9603863679703449
convnext_upernet_6ch,82-11,1441,1271017403,0.6084066946138043,0.6815787859370643,0.9908410396486129,2,,0.0,0.0,0.2249043934838925,0.9919089957437159,,,,0.0,,
convnext_upernet_6ch,82-13,1043,863989206,0.47042618028318917,0.5467753559138312,0.9675472265101424,4,,0.6852797254887458,0.0,0.1325094136672175,0.9840837631811953,0.0,,0.0798318187955979,0.0,,0.0
convnext_upernet_6ch,82-16,378,306829357,0.5530829142931427,0.6006861867240885,0.991599262126668,2,,0.0,,0.11457558950542521,0.9915902390808602,,,,,,
convnext_upernet_6ch,82-19,591,433222749,0.38850983040095144,0.4859243618826015,0.9321473351345176,8,,0.5477784012793021,0.24116057860469015,0.37348621117222314,0.9473714467891817,0.0,0.2810923638893721,0.0,0.0,,0.7171896414728424
convnext_upernet_6ch,82-20,608,316377560,0.3895108798482442,0.48858946144653903,0.8707446634331462,8,,0.7506082763696232,0.37738332697251403,0.4382057783739611,0.9242781455704646,,0.4619897560392471,0.06136903940244482,0.10225271605769878,,0.0
convnext_upernet_6ch,82-21,313,194724135,0.4980473716589244,0.6186448968294465,0.9252059638113169,8,,0.7731511011866137,0.5266875918896146,0.5034386482464343,0.9627400032021753,,0.5999071139766146,0.26888895213306807,0.28896681277395114,,0.060598749862923566
convnext_upernet_6ch,82-22,1360,1014086946,0.25254595407596026,0.3267775629321759,0.9150036973259688,7,,0.4011945742708832,0.10346259363344056,0.1927852659914792,0.935845808620003,0.0,0.1345334360159158,0.0,0.0,,0.0
convnext_upernet_6ch,82-24,1529,642911577,0.20432831226588521,0.253513083856436,0.7878346325065476,8,,0.5041150735879038,0.1489681803311818,0.059782281495395655,0.9031427651148889,0.0,0.0,0.0,0.01861819759771162,,0.0
convnext_upernet_6ch,83-25,3630,2887492462,0.2563823040950739,0.33109413756192557,0.9747686807987241,6,,0.13546353737336897,0.09584424165064691,0.15647416491704713,0.9756361622807853,0.0,0.1343737275215197,0.0,0.04050199082707525,,0.0
convnext_upernet_6ch,83-26,1228,946025258,0.524144129740004,0.6091389063489179,0.9943653808871137,3,,0.47424338167430796,0.0,0.10273094215032806,0.9954580653953761,,0.0,0.0,,,
convnext_upernet_6ch,83-31,1020,836776918,0.9996242929349062,0.9998121111718731,0.9996242929349062,1,,0.0,0.0,0.0,0.9996242929349062,,,,,,
convnext_upernet_6ch,83-34,10,1067196,0.4033581735509657,0.5698557506894845,0.5409493663769355,2,,0.0,0.0,0.32045203602084016,0.4862643110810913,,,,,,
convnext_upernet_6ch,84-40,5269,2226168062,0.2197851382510578,0.29369422017638597,0.7991188097460002,9,,0.5368727836182133,0.19757716663106087,0.08657938331247574,0.8608169929452079,0.0,0.11246969494598719,0.14849862525085764,0.015954732961468664,,0.01929686459424928
convnext_upernet_6ch,84-41,343,181155748,0.537712804338453,0.5957590931520881,0.9843916076016533,5,,0.9057484735368205,0.0,0.13562228049448175,0.9841327923296126,,0.0,,0.0,,0.6630604753313507
convnext_upernet_6ch,85-45,401,50907628,0.869452649551096,0.9286799220848238,0.9092942417195317,3,,0.0,0.0,0.9614172396199673,0.7916084701732689,,0.0,0.0,,,0.8553322388600518
convnext_upernet_6ch,85-48,150,21881576,0.9699413744901149,0.9846338427008309,0.9787430302095242,3,,,,0.9982061743370929,0.9603946199093123,,,,,,0.9512233292239396
convnext_upernet_6ch_corrected,82-11,1441,1271017403,0.6246464616779331,0.702586809875298,0.9911566686864633,2,,0.0,0.0,0.2571732489179382,0.992119674437928,,,,0.0,,
convnext_upernet_6ch_corrected,82-13,1043,863989206,0.4712912910916538,0.5374229955769902,0.9679003813850887,4,,0.7148453302956309,0.0,0.150162306248081,0.9890281961350762,0.0,0.0,0.031129331687826882,0.0,,0.0
convnext_upernet_6ch_corrected,82-16,378,306829357,0.5789709107421855,0.6378100904673198,0.997142356231578,2,,0.0,0.0,0.1608010228279577,0.9971407986564135,,,,0.0,,
convnext_upernet_6ch_corrected,82-19,591,433222749,0.32219652393611464,0.4225892976083072,0.910067024204216,8,,0.5616514449255885,0.21143427909799628,0.35710706139310083,0.9258050976786368,,0.29811579643740965,0.0,0.0,,0.2234585119561851
convnext_upernet_6ch_corrected,82-20,608,316377560,0.4071416033825603,0.4977517555596797,0.8893010205907145,8,,0.761597739043995,0.5164822768776954,0.5084121223074658,0.9282911332271497,,0.4446100179496732,0.0017830775426193567,0.0771306473996079,,0.018825812712275593
