cell,class,index,support_pixels,predicted_pixels,present,in_macro,iou,precision,recall,f1
unet_resnet34_6ch,fliser,2,231902162,237661839,True,True,0.09741145802410764,0.17537831557383515,0.1797341285675465,0.17752950784657787
unet_resnet34_6ch,grus,3,206716845,470969691,True,True,0.11771831387214647,0.15154707694342903,0.3452746194921851,0.21064039554712358
unet_resnet34_6ch,ubefestet,4,10667088919,10733658325,True,True,0.937492765878692,0.9647371589872179,0.97075773124527,0.9677380812862237
unet_resnet34_6ch,green_roof,5,1430413,29323,True,True,0.0,0.0,0.0,0.0
unet_resnet34_6ch,drivhus,6,531496,870065,True,True,0.07388612628627034,0.11083194933711848,0.18143316224393033,0.13760514169558086
unet_resnet34_6ch,betonflade,7,89260373,14809170,True,True,5.52833987691588e-05,0.000388475518884583,6.445189289092485e-05,0.00011056068536786021
unet_resnet34_6ch,brosten,8,120321684,3525467,True,True,0.0002365086777015792,0.00830641727748409,0.00024338090214894267,0.00047290550914651236
unet_resnet34_6ch,unknown2,9,0,0,False,False,,,,
unet_resnet34_6ch,solceller,10,58625774,38874060,True,True,0.5881600980823284,0.92884928921754,0.6159090198109793,0.7406811174673384
unet_resnet34_6ch_corrected,asfalt,1,818756115,599288441,True,True,0.3854391638255317,0.6582977277881453,0.4818409435635177,0.5564144191813392
unet_resnet34_6ch_corrected,fliser,2,231902162,215090954,True,True,0.08247168571894203,0.15833138663748733,0.1468535209257773,0.1523766151244262
unet_resnet34_6ch_corrected,grus,3,206716845,669093833,True,True,0.060889578231786146,0.07512699044709324,0.24316840748996532,0.11478966233841693
unet_resnet34_6ch_corrected,ubefestet,4,10667088919,10636507787,True,True,0.9231654456446867,0.9614279925125955,0.9586717057158151,0.9600478708010706
unet_resnet34_6ch_corrected,green_roof,5,1430413,13152,True,True,0.0,0.0,0.0,0.0
unet_resnet34_6ch_corrected,drivhus,6,531496,14697960,True,True,0.003984570124333724,0.004112271362828583,0.11372051718169092,0.00793751267280985
unet_resnet34_6ch_corrected,betonflade,7,89260373,26007815,True,True,0.00024185980191168514,0.0010716778783607928,0.0003122550249705992,0.000483602639784708
unet_resnet34_6ch_corrected,brosten,8,120321684,10800069,True,True,0.0067450247079582065,0.0813415173551206,0.007301210977067109,0.013399668322006036
unet_resnet34_6ch_corrected,unknown2,9,0,0,False,False,,,,
unet_resnet34_6ch_corrected,solceller,10,58625774,23133770,True,True,0.3597301625721475,0.9350098146562363,0.3689555041098477,0.5291199275768955
unet_resnet34_6ch_unw,asfalt,1,818756115,716449649,True,True,0.4397330270832366,0.6544674265029893,0.5726894119135831,0.6108535663366621
unet_resnet34_6ch_unw,fliser,2,231902162,271740406,True,True,0.1153923166617278,0.1917420885872968,0.22468127313103706,0.2069089322886623
unet_resnet34_6ch_unw,grus,3,206716845,395082285,True,True,0.11326871005701065,0.15497939119188803,0.29620039914986124,0.20348853611669396
unet_resnet34_6ch_unw,ubefestet,4,10667088919,10754554548,True,True,0.941866180418328,0.9661182031878983,0.9740399648767566,0.9700629115600806
unet_resnet34_6ch_unw,green_roof,5,1430413,21652,True,True,0.0,0.0,0.0,0.0
unet_resnet34_6ch_unw,drivhus,6,531496,17,True,True,0.0,0.0,0.0,0.0
unet_resnet34_6ch_unw,betonflade,7,89260373,8104978,True,True,0.0008180950466317979,0.009819767555198793,0.0008916498702061216,0.0016348526284263075
unet_resnet34_6ch_unw,brosten,8,120321684,11615004,True,True,0.010421030665738512,0.11715329585766823,0.011309150227651402,0.02062710563114939
unet_resnet34_6ch_unw,unknown2,9,0,0,False,False,,,,
unet_resnet34_6ch_unw,solceller,10,58625774,37065242,True,True,0.5667345877948529,0.9338747066591391,0.5904278892761399,0.723459598338887
unet_resnet34_rgb,asfalt,1,818756115,998810065,True,True,0.49898583342299707,0.605756398740335,0.7389692448281745,0.6657645753509784
unet_resnet34_rgb,fliser,2,231902162,267934129,True,True,0.15688927386006532,0.25298874858902354,0.2922970593090029,0.27122608430207
unet_resnet34_rgb,grus,3,206716845,434723950,True,True,0.13614883184086454,0.1768160576384163,0.3718428220012743,0.23966724785566532
