job,cell,model,channels,weighting,fold,in_p03_scope,status,n_epochs,final_train_loss,final_valid_loss,best_valid_loss,best_valid_loss_epoch,final_valid_acc,best_valid_acc,best_valid_acc_epoch,final_lr,d_valid_loss_last3,d_valid_acc_last3,still_improving_loss,still_improving_acc
segformer_b1_10ch_fold1,segformer_b1_10ch,segformer_b1,10ch,weighted,1,False,ok,10,0.12312614172697067,0.13280507922172546,0.10111840814352036,7,0.9822335839271545,0.9842453002929688,7,2.000846828021166e-08,0.03168667107820511,-0.002011716365814209,False,False
segformer_b1_10ch_fold2,segformer_b1_10ch,segformer_b1,10ch,weighted,2,False,ok,10,0.12634040415287018,0.5547885894775391,0.4616728723049164,5,0.9023277759552002,0.9082481265068054,6,2.000846828021166e-08,-0.022326231002807617,0.005624949932098389,False,False
segformer_b1_10ch_fold0_unw,segformer_b1_10ch_unw,segformer_b1,10ch,unweighted,0,False,ok,10,0.10461816191673279,0.7245987057685852,0.7245987057685852,9,0.8476031422615051,0.8476031422615051,9,2.000846828021166e-08,-0.05985051393508911,0.010065197944641113,True,True
segformer_b1_10ch_fold1_unw,segformer_b1_10ch_unw,segformer_b1,10ch,unweighted,1,False,ok,10,0.1137528195977211,0.11634403467178345,0.08982904255390167,1,0.9792997241020203,0.9800823926925659,1,2.000846828021166e-08,0.010736905038356781,6.92605972290039e-05,False,False
segformer_b1_10ch_fold2_unw,segformer_b1_10ch_unw,segformer_b1,10ch,unweighted,2,False,ok,10,0.11003263294696808,0.6312834620475769,0.44411996006965637,4,0.8884566426277161,0.8975344300270081,6,2.000846828021166e-08,0.14928323030471802,-0.0088423490524292,False,False
swin_upernet_rgb_fold0,swin_upernet_rgb,swin_upernet,rgb,weighted,0,True,ok,10,0.053914353251457214,1.1099642515182495,0.8315309286117554,2,0.8554134964942932,0.8578591346740723,8,2.000846828021166e-08,0.10850203037261963,0.0005404949188232422,False,False
swin_upernet_rgb_fold1,swin_upernet_rgb,swin_upernet,rgb,weighted,1,True,ok,10,0.08427777886390686,0.45114603638648987,0.11674525588750839,0,0.9438557028770447,0.9759618043899536,0,2.000846828021166e-08,0.013177186250686646,0.011577963829040527,False,False
swin_upernet_rgb_fold2,swin_upernet_rgb,swin_upernet,rgb,weighted,2,True,ok,10,0.05567767471075058,0.7210026979446411,0.45404356718063354,4,0.9122269153594971,0.9122269153594971,9,2.000846828021166e-08,0.10268115997314453,0.0015075206756591797,False,False
swin_upernet_rgb_fold0_unw,swin_upernet_rgb_unw,swin_upernet,rgb,unweighted,0,False,ok,10,0.05234454572200775,0.839769184589386,0.6482957005500793,0,0.8625938296318054,0.8625938296318054,9,2.000846828021166e-08,0.13506489992141724,0.004392802715301514,False,True
swin_upernet_rgb_fold1_unw,swin_upernet_rgb_unw,swin_upernet,rgb,unweighted,1,False,ok,10,0.05193677544593811,0.34414923191070557,0.08277298510074615,0,0.959931492805481,0.983279287815094,4,2.000846828021166e-08,0.13363882899284363,-0.008197188377380371,False,False
swin_upernet_rgb_fold2_unw,swin_upernet_rgb_unw,swin_upernet,rgb,unweighted,2,False,ok,10,0.05208848416805267,0.5357227325439453,0.35457080602645874,0,0.915238618850708,0.9207060933113098,7,2.000846828021166e-08,0.1090412437915802,-0.005467474460601807,False,False
swin_upernet_6ch_fold0,swin_upernet_6ch,swin_upernet,6ch,weighted,0,True,ok,10,0.0453159473836422,1.538908839225769,0.9516512155532837,1,0.8333767056465149,0.8406194448471069,8,2.000846828021166e-08,-0.11541521549224854,0.013318479061126709,False,False
swin_upernet_6ch_fold1,swin_upernet_6ch,swin_upernet,6ch,weighted,1,True,ok,10,0.07817301899194717,0.213630810379982,0.0837564468383789,1,0.9742218852043152,0.9828068614006042,1,2.000846828021166e-08,0.05217599868774414,-0.004998505115509033,False,False
swin_upernet_6ch_fold2,swin_upernet_6ch,swin_upernet,6ch,weighted,2,True,ok,10,0.045337431132793427,0.6578392386436462,0.3688097298145294,2,0.9059163928031921,0.9059163928031921,9,2.000846828021166e-08,-0.026035606861114502,0.004429876804351807,False,True
swin_upernet_6ch_fold0_unw,swin_upernet_6ch_unw,swin_upernet,6ch,unweighted,0,False,ok,10,0.030596282333135605,1.007714033126831,0.7297369241714478,6,0.843019962310791,0.8482149839401245,8,2.000846828021166e-08,0.1688368320465088,-0.0018751025199890137,False,False
swin_upernet_6ch_fold1_unw,swin_upernet_6ch_unw,swin_upernet,6ch,unweighted,1,False,ok,10,0.05011935904622078,0.12359052896499634,0.07512237131595612,3,0.9799812436103821,0.985370397567749,7,2.000846828021166e-08,0.030814655125141144,-0.005389153957366943,False,False
swin_upernet_6ch_fold2_unw,swin_upernet_6ch_unw,swin_upernet,6ch,unweighted,2,False,ok,10,0.04761432111263275,0.4841609299182892,0.343336284160614,4,0.903014063835144,0.9079142212867737,4,2.000846828021166e-08,0.04430598020553589,-4.309415817260742e-05,False,False
swin_upernet_10ch_fold0,swin_upernet_10ch,swin_upernet,10ch,weighted,0,False,ok,10,0.033880267292261124,1.2943865060806274,0.9622451663017273,5,0.8429911732673645,0.8496917486190796,4,2.000846828021166e-08,0.1745690107345581,0.008158862590789795,False,False
swin_upernet_10ch_fold1,swin_upernet_10ch,swin_upernet,10ch,weighted,1,False,ok,10,0.09524986892938614,0.1802152395248413,0.10256075859069824,0,0.9785996079444885,0.9810243248939514,0,2.000846828021166e-08,-0.006296038627624512,0.005938529968261719,False,False
swin_upernet_10ch_fold2,swin_upernet_10ch,swin_upernet,10ch,weighted,2,False,ok,10,0.047536615282297134,0.5797501802444458,0.4246096909046173,2,0.9146294593811035,0.9207563996315002,7,2.000846828021166e-08,0.10660064220428467,-0.0061269402503967285,False,False
swin_upernet_10ch_fold0_unw,swin_upernet_10ch_unw,swin_upernet,10ch,unweighted,0,False,ok,10,0.03194614127278328,1.1569311618804932,0.7107526063919067,3,0.8300533294677734,0.8523482084274292,7,2.000846828021166e-08,0.3161662220954895,-0.02229487895965576,False,False
swin_upernet_10ch_fold1_unw,swin_upernet_10ch_unw,swin_upernet,10ch,unweighted,1,False,ok,10,0.055580414831638336,0.09954927116632462,0.08028163760900497,4,0.9847817420959473,0.9857191443443298,7,2.000846828021166e-08,0.014799840748310089,-0.0009374022483825684,False,False
swin_upernet_10ch_fold2_unw,swin_upernet_10ch_unw,swin_upernet,10ch,unweighted,2,False,ok,10,0.04219342768192291,0.45788446068763733,0.305611789226532,6,0.906670331954956,0.9195253849029541,6,2.000846828021166e-08,0.01569819450378418,-0.002767324447631836,False,False
unet_resnet34_rgb_fold0,unet_resnet34_rgb,unet_resnet34,rgb,weighted,0,True,ok,10,0.09203168004751205,0.8195762634277344,0.7816896438598633,6,0.8587761521339417,0.8614604473114014,7,2.000846828021166e-08,0.03261154890060425,-0.002684295177459717,False,False
unet_resnet34_rgb_fold1,unet_resnet34_rgb,unet_resnet34,rgb,weighted,1,True,ok,10,0.210515558719635,0.3679831922054291,0.1026337742805481,2,0.9076439738273621,0.9816815257072449,2,2.000846828021166e-08,-0.0006796121597290039,0.00714421272277832,False,False
unet_resnet34_rgb_fold2,unet_resnet34_rgb,unet_resnet34,rgb,weighted,2,True,ok,10,0.1216462180018425,0.5373265743255615,0.5068948864936829,4,0.8956936001777649,0.8956936001777649,9,2.000846828021166e-08,0.014488518238067627,0.0005755424499511719,False,False
unet_resnet34_rgb_fold0_unw,unet_resnet34_rgb_unw,unet_resnet34,rgb,unweighted,0,False,ok,10,0.0760967880487442,0.6223013997077942,0.5852354168891907,4,0.8620129823684692,0.8620129823684692,9,2.000846828021166e-08,-0.03799784183502197,0.006354629993438721,False,True
unet_resnet34_rgb_fold1_unw,unet_resnet34_rgb_unw,unet_resnet34,rgb,unweighted,1,False,ok,10,0.14513865113258362,0.3261707127094269,0.1544961780309677,4,0.9139631986618042,0.9627628922462463,4,2.000846828021166e-08,0.03813570737838745,-0.0060280561447143555,False,False
unet_resnet34_rgb_fold2_unw,unet_resnet34_rgb_unw,unet_resnet34,rgb,unweighted,2,False,ok,10,0.10107549279928207,0.38419902324676514,0.38082820177078247,7,0.8992266654968262,0.8992266654968262,9,2.000846828021166e-08,0.003370821475982666,0.004841268062591553,False,False
unet_resnet34_6ch_fold0,unet_resnet34_6ch,unet_resnet34,6ch,weighted,0,True,ok,10,0.11008095741271973,1.1967856884002686,1.1967856884002686,9,0.8106198310852051,0.8184915781021118,7,2.000846828021166e-08,-0.11757063865661621,-0.007871747016906738,True,False
unet_resnet34_6ch_fold1,unet_resnet34_6ch,unet_resnet34,6ch,weighted,1,True,ok,10,0.17168107628822327,0.17755967378616333,0.11923180520534515,5,0.9562839269638062,0.9799503684043884,5,2.000846828021166e-08,0.05184301733970642,-0.02207362651824951,False,False
unet_resnet34_6ch_fold2,unet_resnet34_6ch,unet_resnet34,6ch,weighted,2,True,ok,10,0.16524481773376465,0.9051148295402527,0.6026420593261719,0,0.8629039525985718,0.8840423822402954,0,2.000846828021166e-08,0.01582878828048706,0.00872582197189331,False,False
unet_resnet34_6ch_fold0_unw,unet_resnet34_6ch_unw,unet_resnet34,6ch,unweighted,0,False,ok,10,0.09857127815485,0.9444879293441772,0.9074560403823853,0,0.8176237344741821,0.8176237344741821,9,2.000846828021166e-08,-0.041374027729034424,0.0012316703796386719,False,False
unet_resnet34_6ch_fold1_unw,unet_resnet34_6ch_unw,unet_resnet34,6ch,unweighted,1,False,ok,10,0.13690651953220367,0.16677552461624146,0.11101262271404266,3,0.96003657579422,0.9791215062141418,5,2.000846828021166e-08,-0.019808992743492126,0.004384100437164307,False,False
unet_resnet34_6ch_fold2_unw,unet_resnet34_6ch_unw,unet_resnet34,6ch,unweighted,2,False,ok,10,0.10461892187595367,0.5971139669418335,0.4282778203487396,2,0.8697890639305115,0.8828384876251221,2,2.000846828021166e-08,-0.13061249256134033,0.014056205749511719,False,False
unet_resnet34_10ch_fold0,unet_resnet34_10ch,unet_resnet34,10ch,weighted,0,False,ok,10,0.09676358848810196,1.2013901472091675,1.0242202281951904,6,0.824201226234436,0.8305817246437073,4,2.000846828021166e-08,0.09044396877288818,-0.0037869811058044434,False,False
unet_resnet34_10ch_fold1,unet_resnet34_10ch,unet_resnet34,10ch,weighted,1,False,ok,10,0.15853074193000793,0.12664736807346344,0.11004237830638885,4,0.9776641726493835,0.9817380905151367,5,2.000846828021166e-08,-0.02707754075527191,0.018515408039093018,False,False
unet_resnet34_10ch_fold2,unet_resnet34_10ch,unet_resnet34,10ch,weighted,2,False,ok,10,0.15366089344024658,0.7518418431282043,0.48468080163002014,0,0.8625051379203796,0.8808346390724182,1,2.000846828021166e-08,0.00652468204498291,0.00018793344497680664,False,False
unet_resnet34_10ch_fold0_unw,unet_resnet34_10ch_unw,unet_resnet34,10ch,unweighted,0,False,ok,10,0.08757781982421875,0.8522402048110962,0.8014759421348572,7,0.832849383354187,0.834432065486908,7,2.000846828021166e-08,0.050764262676239014,-0.0015826821327209473,False,False
unet_resnet34_10ch_fold1_unw,unet_resnet34_10ch_unw,unet_resnet34,10ch,unweighted,1,False,ok,10,0.15875442326068878,0.08144489675760269,0.08144489675760269,9,0.9822455644607544,0.9837709665298462,8,2.000846828021166e-08,-0.008019037544727325,0.003663182258605957,True,False
unet_resnet34_10ch_fold2_unw,unet_resnet34_10ch_unw,unet_resnet34,10ch,unweighted,2,False,ok,10,0.14251413941383362,0.6590133905410767,0.5653140544891357,0,0.8570482134819031,0.8707780838012695,4,2.000846828021166e-08,-0.09613871574401855,0.004667937755584717,False,False
