cell,fold,macro_iou,macro_f1,overall_accuracy,source_file
unet_resnet34_6ch_corrected,1,0.20640608831801846,0.2620440254633434,0.9157297643244501,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_6ch_corrected\pooled_oof_metrics.json
unet_resnet34_6ch_corrected,2,0.18369780707723649,0.23801961838594016,0.8679572592457993,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_6ch_corrected\pooled_oof_metrics.json
unet_resnet34_6ch_unw,0,0.27366281078570953,0.3286469567285464,0.8352536854911593,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_6ch_unw\pooled_oof_metrics.json
unet_resnet34_6ch_unw,1,0.2052202355077985,0.2526818913229946,0.9594836966300366,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_6ch_unw\pooled_oof_metrics.json
unet_resnet34_6ch_unw,2,0.2374863621693402,0.3026292629429578,0.880113081037553,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_6ch_unw\pooled_oof_metrics.json
unet_resnet34_ortorgb,0,0.31634021724100514,0.38162279485770373,0.8616354426248657,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_ortorgb\pooled_oof_metrics.json
unet_resnet34_ortorgb,1,0.28538863383626856,0.357728395914339,0.9666181123355579,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_ortorgb\pooled_oof_metrics.json
unet_resnet34_ortorgb,2,0.30614172920826516,0.3987762157026815,0.9169816165021882,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_ortorgb\pooled_oof_metrics.json
unet_resnet34_rgb,0,0.32918725623407213,0.39581984089024885,0.8719523280063465,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_rgb\pooled_oof_metrics.json
unet_resnet34_rgb,1,0.20446282289978002,0.2648935877712671,0.9082198436452599,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_rgb\pooled_oof_metrics.json
unet_resnet34_rgb,2,0.2701234318037189,0.34819356575380334,0.9026307539619237,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_rgb\pooled_oof_metrics.json
unet_resnet34_rgb_dsm_dtm_corrected,0,0.3004559937685978,0.3554579216090702,0.8612464635434758,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_rgb_dsm_dtm_corrected\pooled_oof_metrics.json
unet_resnet34_rgb_dsm_dtm_corrected,1,0.20263797663422362,0.26149814272704386,0.9360936825454966,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_rgb_dsm_dtm_corrected\pooled_oof_metrics.json
unet_resnet34_rgb_dsm_dtm_corrected,2,0.18668504532511368,0.24387852940410046,0.8626756292452497,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_rgb_dsm_dtm_corrected\pooled_oof_metrics.json
unet_resnet34_rgb_unw,0,0.3206882306287498,0.3807074418742493,0.8746773285363276,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_rgb_unw\pooled_oof_metrics.json
unet_resnet34_rgb_unw,1,0.17328380644604827,0.21591078102707995,0.9143516539768075,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_rgb_unw\pooled_oof_metrics.json
unet_resnet34_rgb_unw,2,0.26134799685749727,0.3312674833111315,0.9068457191659942,C:\thesis\logs_and_models\spatial_matrix\unet_resnet34\oof_unet_resnet34_rgb_unw\pooled_oof_metrics.json
