class,band,pixels,mean,std
brosten,OrtoCIR_b1_unused,120321684,148.02872569502932,63.4906179202633
brosten,OrtoCIR_b2_unused,120321684,145.38699051951434,58.83469767513742
brosten,DSM,120321684,4.838699700807396,5.2314335499364475
brosten,DTM,120321684,4.063626698478911,4.3721916472878775
solceller,rgb_R,58625774,107.24275089314813,61.99064222078485
solceller,rgb_G,58625774,114.17062619932318,60.7214886536506
solceller,rgb_B,58625774,130.054397234909,62.04969232923231
solceller,cir_b0_NIR,58625774,103.85974798388163,65.51922933017575
solceller,cir_b1_unused,58625774,107.21654668473973,61.39469907159456
solceller,cir_b2_unused,58625774,114.20743214409417,59.50250466391039
solceller,OrtoRGB_R,58625774,110.92563659799187,48.74941140655457
solceller,OrtoRGB_G,58625774,128.2085889219987,48.621180427618455
solceller,OrtoRGB_B,58625774,139.17362510216068,47.02613705336686
solceller,OrtoCIR_b0_NIR,58625774,79.35076739455926,39.15300450517466
solceller,OrtoCIR_b1_unused,58625774,111.922026956949,48.13854706857488
solceller,OrtoCIR_b2_unused,58625774,129.44645541055033,47.60178843212265
solceller,DSM,58625774,18.249871093844295,11.169507712892699
solceller,DTM,58625774,17.993813795706618,11.25516677210052
