filename,route,reason,dsm_dtm_offset_m,dsm_offset_from_rgb_m,dtm_offset_from_rgb_m,ndsm_value
O2021_82_13_1_0025_00144218_2000_0.tif,82-13,DSM/DTM geotransform mismatch -- no co-located terrain model,407.0196555450363,407.0196555450363,0.0,0.0
O2021_82_20_1_0024_00005078_1000_1000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005079_13000_9000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_13_1_0025_00144218_4000_3000.tif,82-13,DSM/DTM geotransform mismatch -- no co-located terrain model,308.0259729308553,0.0,308.0259729308553,0.0
O2021_82_16_1_0029_00006117_10cm_2000_1000.tif,82-16,DSM/DTM geotransform mismatch -- no co-located terrain model,540.6745786515212,0.0,540.6745786515212,0.0
O2021_82_21_1_0004_00002040_15000_0.tif,82-21,DSM/DTM geotransform mismatch -- no co-located terrain model,1555.6349186104046,1555.6349186104046,0.0,0.0
O2021_82_22_1_0030_00000260_5000_0.tif,82-22,DSM/DTM geotransform mismatch -- no co-located terrain model,203.8062805705457,0.0,203.8062805705457,0.0
O2021_82_20_1_0024_00005079_10000_7000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_21_1_0005_00001869_2000_2000.tif,82-21,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_11_1_0023_00003032_3000_4000.tif,82-11,DSM/DTM geotransform mismatch -- no co-located terrain model,648.0933574725173,648.0933574725173,0.0,0.0
O2021_82_20_1_0024_00005079_7000_10000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005079_12000_5000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_22_1_0032_00000904_3000_0.tif,82-22,DSM/DTM geotransform mismatch -- no co-located terrain model,206.196508214858,206.196508214858,0.0,0.0
O2021_82_22_1_0029_00002080_7000_4000.tif,82-22,DSM/DTM geotransform mismatch -- no co-located terrain model,211.51832071950648,211.51832071950648,0.0,0.0
O2021_82_19_1_0024_00005011_5000_5000.tif,82-19,DSM/DTM geotransform mismatch -- no co-located terrain model,338.9985250705377,0.0,338.9985250705377,0.0
O2021_82_20_1_0024_00005078_3000_3000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_11_1_0027_00002539_1000_1000.tif,82-11,DSM/DTM geotransform mismatch -- no co-located terrain model,583.09518948453,0.0,583.09518948453,0.0
O2021_83_25_1_0027_00001533_3000_7000.tif,83-25,DSM/DTM geotransform mismatch -- no co-located terrain model,767.9355441702122,0.0,767.9355441702122,0.0
