cell,macro_iou,macro_f1,overall_accuracy,evaluated_pixels,iou_unknown,iou_asfalt,iou_fliser,iou_grus,iou_ubefestet,iou_green_roof,iou_drivhus,iou_betonflade,iou_brosten,iou_unknown2,iou_solceller,fold_macro_iou_mean,fold_macro_iou_std,route_median_macro_iou,route_min,route_max,route_spread,route_std,n_routes_scored
segformer_b1_10ch,0.2923835816057869,0.3668693622250563,0.9268512248076013,12194633781,,0.53298768475769,0.15730381727195936,0.233124498743413,0.959549641052481,0.0,0.08954051453963874,0.011588641541390686,0.0031464123617924045,,0.6442110241837175,0.288887948465194,0.006896636179979637,0.3874259563686689,0.2047609279412884,0.9997041206626591,0.7949431927213707,0.24878857999295415,16
segformer_b1_10ch_unw,0.2513163313988154,0.3229006517659301,0.9237697392398635,12194633781,,0.5161950941446605,0.15415965522746472,0.2670356499468015,0.9598291666113423,0.0,0.0003948251582590843,0.008358553237376496,0.01704581065721249,,0.33882822760622155,0.26790362929662725,0.037872693434189995,0.3764388953868823,0.20511699593712804,0.9995305534945456,0.7944135575574175,0.2691319994907181,16
segformer_b1_6ch,0.268705916556842,0.346996770906184,0.914946827873092,12194633781,,0.42431527295496396,0.15948782870291753,0.19221357470089298,0.944501272877901,0.0,0.061846063219959106,0.020598962407222594,0.03422308623455578,,0.5811671879131654,0.2766136242014566,0.013007053225307362,0.37411151714284213,0.16760961539462646,0.9997920222268846,0.8321824068322581,0.25911260759558474,16
segformer_b1_6ch_corrected,0.2638026286201338,0.33781537170503384,0.9155818398905964,12194633781,,0.44790238690772316,0.1661191535728073,0.14063983249359263,0.94975930226469,0.0,0.05607861372484261,0.0014733903529165072,0.041835671207640125,,0.5704153070569921,0.26713479630498627,0.01856693037657005,0.3822591996883322,0.14830884264531033,0.999812304813121,0.8515034621678107,0.2570901205752,16
segformer_b1_6ch_unw,0.2563891020302333,0.32494427991164915,0.9177902863666161,12194633781,,0.4695101402642723,0.17432158038149595,0.1490791455922721,0.9464009130943639,0.0,0.000407801218517558,0.011673591137163578,0.01589899059393145,,0.5402097559900827,0.2615226590620405,0.01821365273262486,0.37768384522744164,0.17077800180472985,0.9997322882656283,0.8289542864608985,0.26775127956011713,16
segformer_b1_rgb,0.2975586407422794,0.38920603540389576,0.921323789772609,12194633781,,0.4852347695774886,0.18755653149566875,0.2429371368774038,0.9581432212315895,0.0065068262232017065,0.09383198954368674,0.0580190104297752,0.0789196164058176,,0.5668786648958822,0.2912236423068522,0.024897509251889886,0.4432358622162629,0.22629888769028667,0.9993578431856315,0.7730589554953449,0.2423431766989482,16
segformer_b1_rgb_unw,0.27510195253790126,0.3515769833778308,0.915130403209605,12194633781,,0.45185114123135933,0.20519183536730828,0.2453027452571398,0.949106122149489,0.0,0.0026761388467868665,0.006959663619917781,0.0470841838431337,,0.5677457425259762,0.26740303887737427,0.04156592589993115,0.43645997426592315,0.19274213661586226,0.9976935537316052,0.8049514171157429,0.24889283877486879,16
swin_upernet_10ch,0.31342432249001617,0.39800232221170184,0.9298906654882841,12194633781,,0.5519892703729311,0.17608343964631798,0.2510254175566502,0.9593881005774948,0.0,0.12879192676940993,0.06733314988484733,0.017857694189925853,,0.6683499034125684,0.31038737685637313,0.007640538201956429,0.41691237720509966,0.2102126914349775,0.9992090580108473,0.7889963665758697,0.2601171491537501,16
swin_upernet_10ch_unw,0.3012739439981095,0.37325478057043227,0.9268054952670497,12194633781,,0.5311185871484531,0.1810978087649227,0.2147592264022353,0.9559357334709743,0.0,0.020103359173126615,0.05228923182048919,0.021407532452904436,,0.73475401674988,0.2977947322761972,0.009070673491466102,0.40344112067650745,0.1953404661349019,0.9991470617978973,0.8038065956629954,0.26657972862200346,16
swin_upernet_6ch,0.2955746394481357,0.3692138654631217,0.9235185398963642,12194633781,,0.514524040623071,0.15955070760424084,0.17397806713796585,0.9510196458827521,0.0034779730232786235,0.08801694010149697,0.032791569398677715,0.01246634937966876,,0.7243464618820693,0.28420954872861515,0.013983783455252054,0.43637835087660365,0.19790552213997936,0.999686249710822,0.8017807275708426,0.2532323545533257,16
